artist,uri,genres,num_of_followers,popularity
Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94133053,96
Post Malone,246dkjvS1zLTtiykXe5h60,"['dfw rap', 'melodic rap', 'pop', 'rap']",46002055,91
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",117757199,90
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",37516883,88
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino', 'urbano latino']",87698874,96
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",79320329,92
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",37802874,87
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],101781212,95
Khalid,6LuN9FCkKOj5PcnpouEgny,"['pop', 'pop r&b']",16490775,85
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"['rap', 'slap house']",35213935,94
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",95971547,96
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'pop']",103636544,96
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,['pop'],20696473,83
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop']",34209288,83
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",45164486,88
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['chicago rap', 'melodic rap', 'rap']",36970287,93
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']",51365874,83
Halsey,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']",21786345,83
Cardi B,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']",24770146,80
Calvin Harris,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",22970612,86
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']",32918702,87
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']",43885641,85
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']",55560542,89
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",35133587,97
Sam Smith,2wY79sveU1sp5g7SokKOiI,"['pop', 'uk pop']",24840759,84
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],43455229,87
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']",64178109,92
Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'edm', 'pop', 'progressive electro house']",33946078,85
DJ Snake,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",8951444,79
Young Thug,50co4Is1HCEo8bhOyUWKpn,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']",10896970,86
Sia,5WUlDfRSoLAfcVSX1WnrxN,['pop'],29045347,88
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26539395,90
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop']",9415042,81
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",5817493,84
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']",94370716,93
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",55235863,91
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",63737509,96
Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']",23145330,81
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],127838324,100
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,['pop'],12164261,79
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']",28347141,93
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['pop', 'viral pop']",23681287,81
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",25202868,87
Zedd,2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",6000486,76
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'pop']",12303149,79
Clean Bandit,6MDME20pz9RveH9rEXvrOM,"['pop', 'uk dance', 'uk funky']",5651924,77
