uri,artist_names,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,uri_artist,artist_pop,num_followers,artist_genres,track_pop
spotify:track:7xJ1scIZpc33lZ7HpcrjCY,Grupo Firme,El Beneficio De La Duda,0.17,0.618,245501,0.662,0.0,0.316,-6.081,0,0.151,150.118,3,0.426,spotify:artist:1dKdetem2xEmjgvyymzytS,81,13658667,"['banda', 'musica mexicana', 'norteno', 'sierreno']",79
spotify:track:4dLLdfiniBhDP9dlJQIOi4,"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",0.168,0.672,193933,0.702,0.0,0.0445,-4.662,0,0.0314,90.039,4,0.615,spotify:artist:0ZCO8oVkMj897cKgFH7fRW,79,7816088,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']",80
spotify:track:2nibvvDdAQkVraYP00z2RS,"Drake, 21 Savage",Calling For You (feat. 21 Savage),0.0548,0.571,285630,0.55,0.0,0.179,-6.567,1,0.106,120.947,4,0.104,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",62
spotify:track:4ZT0wGKwlJRjpMUuwZVy3p,Drake,Daylight,0.0149,0.566,164143,0.564,0.0,0.104,-7.88,0,0.277,139.92,4,0.0667,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",62
spotify:track:53KaP77tkliz36LPxWGlWK,Drake,Fear Of Heights,0.0127,0.697,155154,0.32,0.0,0.18,-9.347,0,0.214,136.976,4,0.0658,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",61
spotify:track:0Mrnt1YqVuW2bqmwu4VxDt,"Drake, Teezo Touchdown",Amen (feat. Teezo Touchdown),0.0636,0.646,141213,0.605,0.0,0.253,-7.59,1,0.188,90.156,3,0.309,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",59
spotify:track:1GpWY5RiInhezB8wGWs6oN,Drake,7969 Santa,0.554,0.487,259847,0.49,0.0,0.126,-9.373,0,0.0649,141.389,4,0.325,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",60
spotify:track:0w3Mfe4PIVjuFjJbe3OlYv,Drake,8am in Charlotte,0.643,0.567,266848,0.682,0.0,0.512,-6.423,1,0.274,79.043,4,0.668,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",67
spotify:track:3JZjcKImHcmOI9ylL4zrSc,Drake,Bahamas Promises,0.85,0.626,184090,0.309,1.31e-05,0.117,-10.397,1,0.0433,117.94,4,0.369,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",64
spotify:track:3IHt4j5uAEl7iBu8Utn985,Drake,Tried Our Best,0.837,0.57,209991,0.295,0.0,0.167,-13.693,0,0.0445,84.139,3,0.231,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",66
spotify:track:1DAibqbopEYULPEtE8WHTE,Drake,What Would Pluto Do,0.0506,0.832,182998,0.555,0.0,0.213,-7.766,0,0.116,95.618,4,0.473,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",62
spotify:track:24FUBxaAYSBlWsbSnEzDcn,"Drake, PARTYNEXTDOOR",Members Only (feat. PARTYNEXTDOOR),0.245,0.647,277721,0.34,0.0,0.107,-8.795,0,0.0496,91.998,4,0.176,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",66
spotify:track:03rwnftfgpYVO6QDWOZcG6,Drake,Drew A Picasso,0.334,0.709,262769,0.377,0.0,0.176,-11.327,1,0.219,127.921,4,0.147,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",64
spotify:track:17IBDpAl3J39swaoPlfGpp,"Drake, Lil Yachty",Another Late Night (feat. Lil Yachty),0.0144,0.702,170415,0.71,0.0,0.144,-5.003,0,0.0459,158.129,4,0.282,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",63
spotify:track:1PIgY9ybyFT9uWLM5POYGY,"Drake, Chief Keef",All The Parties (feat. Chief Keef),0.543,0.572,218612,0.406,0.0,0.0982,-10.081,0,0.308,125.019,4,0.226,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",61
spotify:track:4IcbUXrAzBtn6iUO1LP471,Drake,Away From Home,0.0195,0.848,258593,0.625,0.0,0.109,-7.64,1,0.0587,93.019,4,0.226,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",59
spotify:track:3DeZc9cOc1DM8YNoJV8lAv,"Bizarrap, Milo j",Toy en el Mic,0.676,0.685,137054,0.545,0.0,0.174,-7.325,0,0.1,100.486,4,0.868,spotify:artist:716NhGYqD1jl2wI1Qkgq36,82,16848007,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",69
spotify:track:0aPs3kmiqmt9QG7gWXdefA,"Bizarrap, Milo j",No soy Eterno,0.343,0.549,151469,0.484,0.000161,0.342,-8.136,1,0.324,123.372,4,0.674,spotify:artist:716NhGYqD1jl2wI1Qkgq36,82,16848007,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",74
spotify:track:3oZZfVvLJuDYc4Vn3A63Fw,Drake,Polar Opposites,0.0924,0.44,257180,0.274,3.37e-06,0.128,-14.464,0,0.0809,76.513,4,0.343,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",60
spotify:track:0Vz146N2GxkVJw4kSGXrNi,JENNIE,You & Me (Coachella ver.),0.00487,0.748,179865,0.672,6.71e-06,0.242,-5.682,1,0.057,111.939,4,0.536,spotify:artist:250b0Wlc5Vk0CoUsaCY84M,83,7666973,['k-pop'],62
spotify:track:1mjAD7IYvI5UGiB7WnppMf,Drake,BBL Love - Interlude,0.845,0.502,161364,0.391,0.0,0.112,-9.013,1,0.0428,132.819,4,0.574,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",55
spotify:track:0ArVfVP8B5svkfj8clHNzB,Drake,Screw The World - Interlude,0.0644,0.823,112093,0.642,0.714,0.105,-5.922,1,0.258,146.781,4,0.629,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",50
spotify:track:68cUJFq7aAbgeurngTmngL,Junior H,$AD BOYZ II,0.399,0.548,208899,0.591,8.21e-06,0.174,-7.888,1,0.0592,83.411,3,0.383,spotify:artist:7Gi6gjaWy3DxyilpF1a8Is,91,20042526,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",70
