artist,url
Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4?si=aLRLwLkeQKqT3C31JU3nxQ
Post Malone,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60?si=CvfDxamnSo2CdpCyFJuXEg
Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V?si=OXnSKLV_Rh230iNUP0gotg
J Balvin,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5?si=Ewe4KvuZR5qqgnokoa8B4Q
Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X?si=iuliEP-FQEqiNlQ9YL4fPA
Justin Bieber,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s?si=kpMmFRecQm6XXx5KhdJu-w
Ozuna,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY?si=b8YdLn_gQ4ukY5QHLt8tPA
Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR?si=0LwCo1taRKqSh6JUDZQjoA
Khalid,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny?si=3VoZv4f6RlC0HWERZZEciA
Travis Scott,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY?si=BePiykKTQAik9LfNeEIBAQ
The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ?si=99BwWxbxTkGInp2wZPsZzg
Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH?si=851aJlNWTmCNlGBvbHhyCg
The Chainsmokers,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp?si=ZZh7VHDuRT6y5vXmroqAig
Camila Cabello,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF?si=luy0-wnOR-Oosp-x7sKNNw
Dua Lipa,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we?si=90hTkVx2Tn-AxHibjj2Ngw
Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz?si=pPJimB2RQI6tBj7bZsqfDg
Selena Gomez,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx?si=E2688i0ZS4-pRjpkZtbb0w
Halsey,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2?si=hBM5uAuPSYGQHkPsSo5_WA
Cardi B,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB?si=vu4pUcPHR1WvHi7vTRC89A
Calvin Harris,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY?si=t9diYX0pT3aocRXz55kXgw
Nicki Minaj,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh?si=WcdTy1C-QWG05ePPKcox2Q
Shawn Mendes,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr?si=xFBRgDZaQ42TeJpgVyDxiQ
Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q?si=GeAvzky6SxKNK_FD4cmgPg
Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg?si=5rhl4L0UTDmfgk-JCqFxLw
Sam Smith,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI?si=xZEkXvTiR8iPwPuQGsD7zA
Maroon 5,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP?si=2JMKyO-iRdiJAfbd7sU6dQ
Rihanna,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H?si=hPlzkZ9oQ-a_pSryE8iyHg
Marshmello,https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T?si=oHbUQ_xMRsicgcOfmn5z-g
DJ Snake,https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4?si=SfTs-BteS7OBmmbiIPk_pg
Young Thug,https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn?si=gwpKomnPRlKdWmUhx8g_cQ
Sia,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN?si=eIspUHk2TwCIr2Mg57RwUg
David Guetta,https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai?si=6sXzrdfzSF27kUz-Dntqqg
Bebe Rexha,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb?si=D3SGa9JzROCvnceEl7xoVA
Ty Dolla $ign,https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq?si=lgWPBpSWSQa9EA7NMHER7A
Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR?si=g4FmzP5vQt-ttrTIMyqRWQ
Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU?si=0PxsNAjITGaI8MdPoUSepg
Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C?si=V4qkOmBgQ6ySXiljCYSN0w
Avicii,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6?si=zURB2_CKQIibYhibw8fJyQ
Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02?si=RfTxrX-FRkWnvWHlnjhxpA
Anne-Marie,https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX?si=b_OwDnvcRy-rGFdBkTnttw
Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x?si=PvjfzFKITuCFOZc03iRTiA
Charlie Puth,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7?si=5VtSS1uATPelW4L4lAKBzA
J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5?si=tcxiRpLwRL2ZxZKIO2ergw
